Champion,Amount of Camps,Path,Time
Amumu,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.13
Amumu,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.15
Bel'Veth,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.07
Bel'Veth,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.12
Bel'Veth,6,Raptors-Krugs-Red-Wolves-Blue-Gromp,3.12
Brand,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.24
Cho'Gath,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.22
Darius,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.01
Darius,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.05
Diana,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.05
Diana,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.08
Dr. Mundo,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,2.56
Dr. Mundo,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.05
Ekko,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.17
Elise,3,Red-Blue-Gromp,2.36
Elise,3,Red-Raptors-Gromp,2.36
Evelynn,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.1
Evelynn,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.13
Evelynn,6,Red-Krugs-Raptors-Wolves-Blue-Gromp (Speed),3.16
Evelynn,6,Red-Krugs-Raptors-Wolves-Gromp-Blue (HP),3.18
Evelynn,6,Raptors-Krugs-Red-Blue-Gromp-Wolves,3.22
Fiddlesticks,6,Wolves-Blue-Gromp-Raptors-Red-Krugs,3.01
Fiddlesticks,6,Raptors-Red-Krugs-Wolves-Blue-Gromp,3.06
Garen,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.15
Gragas,5,Blue-Gromp-Wolves-Raptors-Red,3.13
Graves,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.15
Graves,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.18
Gwen,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.08
Gwen,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.09
Hecarim,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3
Hecarim,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.04
Heimerdinger,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.27
Illaoi,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.04
Irelia,5,Red-Raptors-Wolves-Blue-Gromp,3.05
Ivern,5,Red-Raptors-Blue-Gromp-Wolves,2.54
Jarvan IV,3,Red-Blue-Gromp,2.31
Jarvan IV,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.09
Jax,5,Red-Raptors-Wolves-Blue-Gromp,3.06
Karthus,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,2.54
Karthus,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.03
Kayn,6,Raptors-Krugs-Red-Wolves-Blue-Gromp,3.1
Kayn,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.11
Kayn (AD/AD),6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.08
Kayn (AS/AD),6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.08
Kha'Zix,5,Red-Raptors-Wolves-Blue-Gromp,3.06
Kha'Zix,5,Red-Blue-Gromp-Wolves-Raptors,3.07
Kha'Zix,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.22
Kha'Zix,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.27
Kindred,3,Red-Wolves-Gromp,2.34
Kindred,3,Red-Raptors-Gromp,2.37
Kindred,3,Red-Blue-Gromp,2.39
Kindred,4,Blue-Gromp-Wolves-Red,2.53
Kindred,5,Blue-Gromp-Wolves-Red-Raptors,3.12
Kindred,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.24
Lee Sin,5,Red-Raptors-Wolves-Blue-Gromp,3.04
Lee Sin,5,Red-Blue-Gromp-Wolves-Raptors,3.12
Lee Sin (Q Start),3,Red-Blue-Gromp,2.36
Lee Sin (W Start),3,Red-Blue-Gromp,2.39
Lillia,6,Raptors-Krugs-Red-Blue-Gromp-Wolves,3.08
Lillia,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.11
Lillia,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.14
Malphite,5,Blue-Gromp-Wolves-Raptors-Red,3.15
Maokai (AP/AP),6,Wolves-Blue-Gromp-Raptors-Red-Krugs,3.2
Maokai (AP/AP),6,Raptors-Red-Krugs-Wolves-Blue-Gromp,3.21
Master Yi,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.16
Master Yi,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.16
Mordekaiser,6,Red-Krugs-Raptors-Wolves-Blue-Gromp,3.08
Mordekaiser,6,Raptors-Red-Krugs-Wolves-Blue-Gromp,3.11
Mordekaiser,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.15
Morgana,6,Raptors-Red-Krugs-Wolves-Blue-Gromp,3.06
Nasus,6,Blue-Gromp-Wolves-Raptors-Red-Krugs,3.36
